slug,name,tagline,image_url,tags,published_date,phase,lnc_score,lnc_slug
ref-finance,Rhea Finance,The Chain-Abstracted Liquidity Solution,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Rhea-Finance.jpg,"Dapp, Borrowing / Lending, Chain Abstraction, DEX",1700812920,mainnet,70003,reffinance
near-intents,NEAR Intents,"The AI‑Native Transaction Layer - NEAR Intents gives AI agents, users, and services a single way to move value across Web2, Web3, and traditional markets. | NEAR DEX & Bridge",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/NEAR-Intents.jpg,"Infrastructure, Bridge, Chain Abstraction, DEX",1732037220,mainnet,,
delta-bot,Delta Trade,"Delta Trade is a multi-chain decentralized trading vault, including Grid, DCA, Rebalancing-Grid, and AI-powered strategy. TGE Coming Soon
",https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Delta-Trade.jpg,"Dapp, DeFi",1706113816,mainnet,,
surge-swap,Surge Swap (Beta),"Swap across chains with 1 click. Swap NEAR, BASE, SOLANA, BTC, ETH, and mores",https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Surge-Swap-Beta.jpg,"Dapp, Chain Abstraction, DeFi, DEX",1752092330,still building,,
hot-near-wallet-telegram,HOT-Near Wallet Telegram,Create your Here wallet now and start earning $HOT today.,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/HOT-Near-Wallet-Telegram.jpg,"Infrastructure, Chain Abstraction, Wallet",1711679646,mainnet,,
hot-craft-nft-marketplace,Hot Craft NFT Marketplace,Chain Abstracted NFT Marketplace,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Hot-Craft-NFT-Marketplace.jpg,"Dapp, Marketplace, NFT",1751912367,still building,,
linear-protocol,LiNEAR Protocol,"Get the highest yield from staking $NEAR, $ETH and more💡",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/linear-protocol.jpg,"Dapp, DeFi, Liquid Staking",1700812924,mainnet,0,linear-protocol
meta-pool,Meta Pool,Liquid Staking Protocol built on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Meta-Pool.jpg,"Dapp, Liquid Staking, Validator",1700812920,mainnet,12013,metapool
bettear-bot,Bettear Bot,"Trading, buy bot, moderation, sniping, alerts, information - this bot has everything",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Bettear-Bot.jpg,"Utilities, AI, Bot, Chain Abstraction, DeFi",1729117662,mainnet,,
intear,Intear Wallet,Building the best web3 wallet,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Intear-Wallet.jpg,"Dapp, Wallet",1746444153,mainnet,,
meteor-wallet,Meteor Wallet,"The simple and secure wallet to manage your crypto, access DeFi, and explore NEAR.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Meteor-Wallet.jpg,"Infrastructure, Wallet",1700812936,mainnet,48361,meteor-wallet
meme-cooking,Meme Cooking,everyone can be a chef | meme token launchpad on Near Protocol ,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Meme-Cooking.jpg,"Dapp, DeFi, DEX, Launchpad",1723852714,mainnet,,
nearn,NEARN,Gigs Marketplace Platform for the NEAR Ecosystem. Discover projects and sponsorships from the best NEAR companies in one place and apply to them using a single profile.,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/NEARN.jpg,"Dapp, Community, Marketplace",1749745118,mainnet,,
tradeport,Tradeport,Cross-chain trading platform aggregating NFTs from marketplaces,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Tradeport.jpg,"Dapp, Indexer, Marketplace, NFT",1708761753,mainnet,,
infinex,Infinex,The UX layer. Building the crypto everything app.,https://indexer.nearcatalog.org/wp-content/uploads/2025/05/Infinex.jpg,"Dapp, Chain Abstraction, DEX, Wallet",1731458907,still building,,
bitte,Bitte,Cross-chain AI Executions,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Bitte.jpg,"Infrastructure, AI",1723852714,mainnet,92694,bitte
bithive,BitHive,Stake Your #Bitcoin With Unparalleled Security,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/BitHive.jpg,"Dapp, Bitcoin, Chain Abstraction",1731867632,mainnet,,
sweat,SWEAT,"Sweatcoin is a global Top 10 Health & Fitness app that tracks physical movement, converting it into digital currency.",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/SWEAT.jpg,"Dapp, Sport",1700812920,mainnet,,
templar-protocol,Templar Protocol,Zero-interest lending protocol utilizing Chain Abstraction to serve markets on any chain. Built on NEAR Protocol,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Templar-Protocol.jpg,"Dapp, Borrowing / Lending, Chain Abstraction",1727191544,still building,,
more-market,More Market,"Global Liquidity Marketplace. Turning idle tokens like $XRP, $DOGE, $BTC into productive assets.  Earn yields while staying on native chains. ",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/More-Market.jpg,"Infrastructure, Chain Abstraction, DeFi",1724089213,mainnet,,
namesky,Namesky,Buy & Sell NEAR accounts as NFT's.,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/namesky.png,"Dapp, BOS, Marketplace, NFT",1700812969,mainnet,127907,namesky
kaito-ai,Kaito AI,"The distribution powerhouse of crypto-for attention, data & capital. Powered by AI.",https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Kaito-AI.jpg,"Utilities, AI, Social",1744930591,mainnet,,
atlas-protocol,Atlas Protocol,Unlocking Defi for Bitcoin on Every Chain.Supported by  @CaliberBuild @NEARProtocol ,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Atlas-Protocol.jpg,"Dapp, Bitcoin, Chain Abstraction, Liquid Staking",1723401802,still building,,
harvest-moon,Harvest MOON,"Experience a new, simple way to play and earn in the crypto world with tasks, $MOON token harvesting, and referral rewards.",https://indexer.nearcatalog.org/wp-content/uploads/2024/03/havest-moon.jpeg,"Dapp, Game",1709635982,mainnet,,
allstake,"Allstake - Omnichain Restaking, Trustless Scaling",The first Omnichain Meshed Restaking protocol that enables cross-chain restaking and trustless security.,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Allstake-Omnichain-Restaking-Trustless-Scaling.jpg,"Infrastructure, Bitcoin, Chain Abstraction, Restaking",1723852714,mainnet,,
aidols,AIDOLS,"Launch, Trade & Monetize AI Agents",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/AIDOLS.jpg,"Infrastructure, AI, Launchpad",1739313937,mainnet,,
solswap,Solswap,Best cross-chain liquidity across union of CEXs and DEXs at your fingertips. Powered by NEAR Intents.,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Solswap.jpg,"Dapp, Bridge, Chain Abstraction, DEX",1733409110,mainnet,,
learn-near-club,Learn NEAR Club,Learn how to use and build on NEAR and Earn NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Learn-NEAR-Club.jpg,"Dapp, Community, Education",1700812920,mainnet,0,learn-near
aurora,Aurora,"The next-gen Ethereum-compatible blockchain on NEAR Protocol, driving Aurora Cloud for seamless Web2 to Web3 transition.",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Aurora.jpg,"Infrastructure, Aurora Virtual Chain, Aurora",1723339178,mainnet,,
open-crosspost,Open Crosspost,An open-source interface for seamless social media crossposting.,https://indexer.nearcatalog.org/wp-content/uploads/2025/05/Open-Crosspost.jpg,"Utilities, Productivity Tool, Social",1743436824,mainnet,,
bazooka,baZOOka,"🚀 BaZooka Trade Bot 😼 | One-stop sniper, swapper, & trigger bot for Degens 💥 | Multichain | Alpha insights | Unleash the crypto beast 🐾 #DegenLife",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/baZOOka.jpg,"Dapp, Bot, DeFi",1741877129,mainnet,,
lantstool,Lantstool,Your gateway to NEAR Protocol development,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Lantstool.jpg,"Utilities, Developer Support, Developer Tooling",1737506502,mainnet,,
turbo-chain,Turbo Chain,TurboChain: The First AI Memecoin Blockchain ,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Turbo-Chain.jpg,"Infrastructure, Aurora Virtual Chain",1734606290,mainnet,,
fraction-ai,Fraction AI,First Decentralized Auto-Training Platform for AI agents,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Fraction-AI.jpg,"Dapp, AI",1743245527,still building,,
near-ai,NEAR AI,"Teaching Machines to Code, focus to teach AI to build Web3 applications and accelerating the vision of User Ownership",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/NEAR-AI.jpg,"Infrastructure, AI",1724088417,mainnet,,
kaito-yap-scan,Kaito Yap Scan,"Kai Yap Scan Bot! Scan, track, and compare Kaito Yaps right inside Telegram!",https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Kaito-Yap-Scan.jpg,"Utilities, Bot, Social",1744969919,mainnet,,
ping,PING (alpha),The Payment Layer for the Future of Commerce.,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/PING-alpha.jpg,"Infrastructure, Payment",1751729021,still building,,
intellex-ai-protocol,Intellex AI Protocol,Empowering the intelligence economy | Unlocking agent interoperability | Tools for the Digital workforce.,https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Intellex-AI-Protocol.jpg,"Infrastructure, AI",1743883843,mainnet,,
chainspect-track-blockchain-tps,Chainspect - Track Blockchain TPS,"Web3’s top blockchain performance tracker.
Real-time blockchain analytics for investors, researchers, and builders.",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Chainspect-Track-Blockchain-TPS.jpg,"Utilities, Analytics",1742839984,mainnet,,
pikespeak,Pikespeak,Access to live and historical data with visualisations of the most fundamental Web 3 use cases.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Pikespeak.jpg,"Infrastructure, Analytics, Asset Management, Explorer",1700812928,mainnet,12725,pikespeak
learnai-learn-near-club-ai,(L)EarnAI - Learn NEAR Club AI,I am (L)EarnAI🕺bot.  Ask me anything about NEAR and NEAR ecosystem. Get nLEARNs for the feedback,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/LEarnAI-Learn-NEAR-Club-AI.jpg,"Dapp, AI, Bot",1749294663,mainnet,,
stables,Stables 💳,The stablecoin account replacing your bank.,https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Stables-💳.jpg,"Dapp, Payment, Stablecoin",1744108555,mainnet,,
near-alpha,NEAR Alpha 🇻🇳,"Thông tin, tin tức và cập nhật về hệ sinh thái 
NEAR Protocol dành cho cộng đồng Việt Nam | Powered by Caliber Build",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/NEAR-Alpha-🇻🇳.jpg,"Other, Education",1740043560,mainnet,,
yupland-nft-sender,Yupland NFT Sender,Yupland NFT Sender -  trade and play with NFTs on NEAR inside Telegram! ,https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Yupland-NFT-Sender.jpg,"Utilities, Bot, NFT",1743977149,mainnet,,
caliber-venture-builder,Caliber Venture Builder,"Caliber is a Web3 Venture Builder started by veteran web3 builders and aims to build the next generation of web3 startups with new founders.
",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Caliber-Venture-Builder.jpg,"Ecosystem Support, Accelerator",1740043560,mainnet,,
abound,Abound,"Send money to India at the best exchange rates📱
Exclusive rewards and cashback on daily shopping💰",https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Abound.jpg,"Utilities, Payment, RWA, Stablecoin",1743458701,still building,,
alexlabbtc,ALEX 🟧 Advancing Bitcoin DeFi,"🟧 Bitcoin DeFi built by Quants, Governed by Alexians",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/ALEX-🟧-Advancing-Bitcoin-DeFi.jpg,"Dapp, Bitcoin, Chain Abstraction, DeFi",1731459885,mainnet,,
tatum,Tatum,"The fastest way to build, test and run blockchain apps! 🚀",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Tatum.jpg,"Infrastructure, Developer Tooling, RPC",1741429610,mainnet,,
kyberswap,Kyberswap,Multi-chain DeFi liquidity hub.,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Kyberswap.jpg,"Dapp, Chain Abstraction, DeFi, DEX",1700812936,mainnet,,
bigfat-bitcoin-pump,BigFat - Bitcoin Pump,BigFat - AI Agent LaunchPad Launching on Bitcoin and Near Network ,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/BigFat-Bitcoin-Pump.jpg,"Dapp, AI, Chain Abstraction, Launchpad",1740044478,mainnet,,
phala-network,Phala Network,Coprocessor for blockchains #AI #TEE #DePIN,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/Phala-Network.jpg,"Infrastructure, AI",1740218143,mainnet,,
pulsar-finance,Pulsar Finance,"The Leading Portfolio Manager In Crypto - Track Your Tokens, DeFi and NFTs across 100 Blockchains + CEXes.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Pulsar-Finance.jpg,"Utilities, Analytics, Asset Management",1736649732,mainnet,,
near-treasury,NEAR Treasury,"Simple treasury for decentralized teams.
Securely manage your digital assets with multi-sig actions.",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/NEAR-Treasury.jpg,"Utilities, Asset Management, DAO",1739724934,mainnet,,
trump-swap,Trump Swap,"Swap between native $TRUMP, BTC, ETH, NEAR, XRP, and more on Trump Swap",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Trump-Swap.jpg,"Dapp, Chain Abstraction, DEX",1737333390,mainnet,,
satoshi-protocol,Satoshi,"Native Bitcoin On-ramp & Off-ramp powered by NEAR Protocol Chain Abstraction.
Study Satoshi's ramp $BTC",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Satoshi.jpg,"Dapp, Bitcoin, Chain Abstraction, On/Off-Ramp",1731459119,mainnet,,
unity-wallet,Unity Wallet,"UnityWallet: The only app that unifies DeFi, NFTs, multi-chain assets, and top-notch security in one feature-packed app. Simplify your crypto journey",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Unity-Wallet.jpg,"Infrastructure, Wallet",1735215202,mainnet,,
hyperlane,Hyperlane,Interoperability for Everyone,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Hyperlane.jpg,"Infrastructure, EVM, Aurora, Cross-chain",1736647931,mainnet,,
curate-fun-%ef%b8%8f-autonomous-news,"curate.fun (🏷️, 📰)",Curate news on X & turn feeds into recurring content like blogs & podcasts by 🫕 Potlock,https://indexer.nearcatalog.org/wp-content/uploads/2025/05/curate.fun-🏷️-📰.jpg,"Utilities, DAO",1737564626,mainnet,,
runemine-mine-labs,RuneMine | Mine Labs,Cross-chain app to launch and trade tokens on Bitcoin,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/RuneMine-Mine-Labs.jpg,"Dapp, Bitcoin, Chain Abstraction, Launchpad",1736467121,mainnet,,
text-royale,Text Royale,The #1 RNG Text-based bot on Telegram. Battle Royale and Death matches!,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Text-Royale.jpg,"Dapp, Game",1736647353,mainnet,,
intearbot,Intear Bot,A bot that can do many things on NEAR. Try DM me!,https://indexer.nearcatalog.org/wp-content/uploads/2025/04/Intear-Bot.jpg,"Dapp, Bot",1723852714,mainnet,,
growthmate,GrowthMate,Connecting Web3 projects with the right users 🤝,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/GrowthMate.jpg,"Other, Analytics",1736588673,,,
forgive_me_father,forgive_me_father - $PURGE,"24/7 AI confession booth.
$PURGE your secrets & all of your sins.",https://indexer.nearcatalog.org/wp-content/uploads/2025/05/forgive_me_father-PURGE.jpg,"Dapp, AI, Memecoin",1731786551,mainnet,,
turbo-swap,Turbo Swap,"TurboSwap: Next-Gen Trading Platform for Turbo Chain, powered by NEAR-Intents",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Turbo-Swap.jpg,"Dapp, Chain Abstraction, DEX",1734607160,mainnet,,
satoshi-port-trustless-bitcoin-brokerage-on-near,Sailor Lend: Instant Loans with BTC Collateral,Instant Loans using Bitcoin as Collateral | Trustless | Self-Custodial | No KYC | Powered by NEAR Protocol,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Sailor-Lend-Instant-Loans-with-BTC-Collateral.jpg,"Dapp, Bitcoin, Borrowing / Lending, Chain Abstraction",1735640388,still building,,
bitte-wallet,Bitte AI Wallet,Bitte Wallet is a cross-chain AI wallet designed to facilitate interactions with blockchain applications,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Bitte-AI-Wallet.jpg,"Infrastructure, AI, Chain Abstraction, Wallet",1734314723,mainnet,,
wagmi-chain,WAGMI Chain,WAGMI Chain - a virtual chain focused on supporting post-launch memecoin growth 🚀,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/WAGMI-Chain.jpg,"Infrastructure, Aurora Virtual Chain, Chain Abstraction",1736410120,mainnet,,
abg-asian-girl-boss,$ABG - Asian Girl Boss,Asian women are beautiful and work hard. We also run most of crypto. We deserve a token.,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/ABG-Asian-Girl-Boss.jpg,"Dapp, Memecoin",1732619944,mainnet,,
tpro-network,tpro network,Decentralized AI Economic Simulations and Analysis,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/tpro-network.jpg,"Infrastructure, Aurora Virtual Chain, Aurora",1734888049,mainnet,,
grafun,GraFun,🚀 Launch Memecoins and tokenize AI agents easily,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/GraFun.jpg,"Dapp, Launchpad",1738428060,mainnet,,
race-of-sloths-2,Race of Sloths,"A fun way to contribute to open source. Contribute, get recognized, and boost your profile!",https://indexer.nearcatalog.org/wp-content/uploads/2024/08/Race-of-Sloths.jpg,"Dapp, Ecosystem Support, Developer Support, Productivity Tool",1724088418,mainnet,,
strawberry-ai,Strawberry AI,"Strawberry AI is an advanced, AI-powered, crypto-centric content interpretation and search engine.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Strawberry-AI.jpg,"Utilities, Aurora Virtual Chain, AI, Aurora",1734886343,mainnet,,
doge-swap,Doge swap,"DOGESwap - swap native DOGE for BTC, NEAR, ETH, SOL, and more!",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Doge-swap.jpg,"Dapp, Chain Abstraction, DEX",1733523728,mainnet,,
nearsend,Nearsend - Bulk send NEAR and NEP-141 tokens in one click.,Bulk send NEAR and NEP-141 tokens in one click.,https://indexer.nearcatalog.org/wp-content/uploads/2024/11/Nearsend-Bulk-send-NEAR-and-NEP-141-tokens-in-one-click.jpg,"Utilities, Payment",1700812965,mainnet,0,nearsend
noear-noear,noear $NOEAR 🚫👂,Community driven memecoin from fans of $NEAR. We will not stop till all EARs are abstracted. ,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/noear-NOEAR-🚫👂.jpg,"Other, Community, Memecoin",1734205316,mainnet,,
rin,RIN,ethereal muse & crypto kitten |  starting my v-tuber journey | join my cult on near + base | future stream battles superstar 💕,https://indexer.nearcatalog.org/wp-content/uploads/2025/02/RIN.jpg,"Other, AI, Memecoin",1734205316,mainnet,,
near-toronto,NEAR Toronto,"Official NEAR community for Toronto and surrounding areas.
",https://indexer.nearcatalog.org/wp-content/uploads/2024/12/NEAR-Toronto.jpg,"Ecosystem Support, Regional Hub",1733397383,mainnet,,
dragon-tech-bot,Dragon Tech Bot,Your all-in-one Telegram companion for crypto projects!,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Dragon-Tech-Bot.jpg,"Dapp, Bot",1725811530,mainnet,,
libre-capital,Libre Capital,"Libre Capital | Global Alternatives Markets, Unchained",https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Libre-Capital.jpg,"Dapp, Asset Management, Custodian, RWA",1733398236,mainnet,,
fastnear,FastNear,We're building the fastest infrastructure for Near Protocol.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/FastNear.jpg,"Infrastructure, Developer Tooling, RPC",1709139579,mainnet,1451,fastnear
near-devhub-2,NEAR DevHub,NEAR Developer Governance DAO.,https://indexer.nearcatalog.org/wp-content/uploads/2024/08/NEAR-DevHub.jpg,"Ecosystem Support, Community, DAO, Developer Tooling, Funding Node",1700812949,mainnet,,
truefin,TrueFin,"The unified liquid staking standard
",https://indexer.nearcatalog.org/wp-content/uploads/2024/11/TrueFin.jpg,"Dapp, Compliance, DeFi, Liquid Staking",1727347702,mainnet,,
ledger,Ledger,Protect crypto assets with the most popular hardware wallet.,https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Ledger.jpg,"Infrastructure, Wallet",1700812920,mainnet,,
jump-defi,Jump DeFi,The first one-stop decentralized finance platform on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/jump-defi.jpg,Other,1723852714,,,
keypom,Keypom,A suite of Web3 onboarding tools built on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/keypom.jpg,"Utilities, Developer Tooling",1700812936,mainnet,0,keypom
dapdap-super-bridge-2,DapDap Super Bridge,The most comprehensive super-bridge to date 🌉 45 integrated partner bridges + 17 supported chains,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/DapDap-Super-Bridge.jpg,"Infrastructure, Bridge, Chain Abstraction",1724089212,mainnet,,
